name,riwaya
 إذاعة أحمد الطرابلسي , حفص عن عاصم
 إذاعة أحمد خضر الطرابلسي , قالون عن نافع
 إذاعة أحمد عامر , حفص عن عاصم
 إذاعة ابراهيم الدوسري , ورش عن نافع
 إذاعة الدوكالي محمد العالم , قالون عن نافع
 إذاعة الفاتح محمد الزبير , الدوري عن أبي عمرو
 إذاعة جمعان العصيمي , حفص عن عاصم
 إذاعة حاتم فريد الواعر , حفص عن عاصم
 إذاعة خالد المهنا , حفص عن عاصم
 إذاعة طارق عبدالغني دعوب , قالون عن نافع
 إذاعة عادل الكلباني , حفص عن عاصم
 إذاعة عبدالرحمن الماجد , حفص عن عاصم
 إذاعة عبدالله الكندري , حفص عن عاصم
 إذاعة علي جابر , حفص عن عاصم
 إذاعة علي حجاج السويسي , حفص عن عاصم
 إذاعة عماد زهير حافظ , حفص عن عاصم
 إذاعة عمر القزابري , ورش عن نافع
 إذاعة فارس عباد , حفص عن عاصم
 إذاعة ماهر المعيقلي , حفص عن عاصم
 إذاعة ماهر شخاشيرو , حفص عن عاصم
 إذاعة محمد أيوب , حفص عن عاصم
 إذاعة محمد الطبلاوي , حفص عن عاصم
 إذاعة محمد اللحيدان , حفص عن عاصم
 إذاعة محمد جبريل , حفص عن عاصم
 إذاعة محمد رشاد الشريف , حفص عن عاصم
 إذاعة محمد صالح عالم شاه , حفص عن عاصم
 إذاعة محمد صديق المنشاوي , حفص عن عاصم
 إذاعة محمد صديق المنشاوي , المصحف المجود
 إذاعة محمد عبدالحكيم سعيد العبدالله , البزي وقنبل عن ابن كثير
 إذاعة محمد عبدالحكيم سعيد العبدالله , الدوري عن الكسائي
 إذاعة محمد عبدالكريم , حفص عن عاصم
 إذاعة محمد عبدالكريم , ورش عن نافع من طريق أبي بكر الأصبهاني
 إذاعة محمود الرفاعي , حفص عن عاصم
 إذاعة محمود الشيمي , الدوري عن الكسائي
 إذاعة محمود خليل الحصري , حفص عن عاصم
 إذاعة محمود خليل الحصري , المصحف المجود
 إذاعة محمود خليل الحصري , ورش عن نافع
 إذاعة محمود علي البنا , حفص عن عاصم
 إذاعة محمود علي البنا , المصحف المجود
 إذاعة مشاري العفاسي , حفص عن عاصم
 إذاعة مصطفى إسماعيل , حفص عن عاصم
 إذاعة مصطفى اللاهوني , حفص عن عاصم
 إذاعة مصطفى رعد العزاوي , حفص عن عاصم
 إذاعة معيض الحارثي , حفص عن عاصم
 إذاعة مفتاح السلطني , الدوري عن أبي عمرو
 إذاعة مفتاح السلطني , الدوري عن الكسائي
 إذاعة مفتاح السلطني , حفص عن عاصم
 إذاعة مفتاح السلطني , ابن ذكوان عن ابن عامر
 إذاعة موسى بلال , حفص عن عاصم
 إذاعة ناصر القطامي , حفص عن عاصم
 إذاعة نبيل الرفاعي , حفص عن عاصم
 إذاعة نعمة الحسان , حفص عن عاصم
 إذاعة هاني الرفاعي , حفص عن عاصم
 إذاعة وليد النائحي , قالون عن نافع من طريق أبي نشيط
 إذاعة ياسر الدوسري , حفص عن عاصم
 إذاعة ياسر القرشي , حفص عن عاصم
 إذاعة ياسر المزروعي  , قراءة يعقوب الحضرمي بروايتي رويس وروح
 إذاعة يحيى حوا , حفص عن عاصم
 إذاعة يوسف الشويعي , حفص عن عاصم
 إذاعة يوسف بن نوح أحمد , حفص عن عاصم
تراتيل قصيرة متميزة,
إذاعة صور من حياة الصحابة رضوان الله عليهم,
الإذاعة العامة – إذاعة متنوعة لمختلف القراء,
المختصر في تفسير القرآن الكريم,
أحمد ديبان , حفص عن عاصم
أذكار الصباح , 
أذكار المساء , 
إذاعة سورة البقرة لعدد من القراء,
إذاعة تفسير القرآن الكريم,
إذاعة تلاوات خاشعة,
إذاعة آيات السكينة , حفص عن عاصم
إذاعة أحمد الحواشي , حفص عن عاصم
إذاعة أحمد العجمي , حفص عن عاصم
إذاعة أحمد خليل شاهين , حفص عن عاصم
إذاعة أحمد صابر , حفص عن عاصم
إذاعة أحمد نعينع , حفص عن عاصم
إذاعة أكرم العلاقمي , حفص عن عاصم
إذاعة إبراهيم الأخضر , حفص عن عاصم
إذاعة إدريس أبكر , حفص عن عاصم
إذاعة الرقية الشرعية , 
إذاعة الزين محمد أحمد , حفص عن عاصم
إذاعة العيون الكوشي , ورش عن نافع
إذاعة الفتاوى العامة , 
إذاعة القارئ ياسين , ورش عن نافع
إذاعة تكبيرات العيد , 
إذاعة توفيق الصايغ , حفص عن عاصم
إذاعة جمال شاكر عبدالله , حفص عن عاصم
إذاعة خالد الجليل , حفص عن عاصم
إذاعة خالد القحطاني , حفص عن عاصم
إذاعة خالد عبدالكافي , حفص عن عاصم
إذاعة خليفة الطنيجي , حفص عن عاصم
إذاعة زكي داغستاني , حفص عن عاصم
إذاعة سعد الغامدي , حفص عن عاصم
إذاعة سعود الشريم , حفص عن عاصم
إذاعة سهل ياسين , حفص عن عاصم
إذاعة سيد رمضان , حفص عن عاصم
إذاعة شيخ أبو بكر الشاطري , حفص عن عاصم
إذاعة شيرزاد عبدالرحمن طاهر , حفص عن عاصم
إذاعة صابر عبدالحكم , حفص عن عاصم
إذاعة صلاح البدير , حفص عن عاصم
إذاعة صلاح الهاشم , حفص عن عاصم
إذاعة صلاح بو خاطر , حفص عن عاصم
إذاعة عادل ريان , حفص عن عاصم
إذاعة عبدالبارئ الثبيتي , حفص عن عاصم
إذاعة عبدالبارئ محمد , حفص عن عاصم
إذاعة عبدالباسط عبدالصمد , المصحف المجود
إذاعة عبدالباسط عبدالصمد , ورش عن نافع
إذاعة عبدالباسط عبدالصمد , حفص عن عاصم
إذاعة عبدالرحمن السديس , حفص عن عاصم
إذاعة عبدالرشيد صوفي , خلف عن حمزة
إذاعة عبدالرشيد صوفي , السوسي عن أبي عمرو
إذاعة عبدالعزيز الأحمد , حفص عن عاصم
إذاعة عبدالله الخلف , حفص عن عاصم
إذاعة عبدالله المطرود , حفص عن عاصم
إذاعة عبدالله الموسى , حفص عن عاصم
إذاعة عبدالله بصفر , حفص عن عاصم
إذاعة عبدالله خياط , حفص عن عاصم
إذاعة عبدالله عواد الجهني , حفص عن عاصم
إذاعة عبدالمحسن الحارثي , حفص عن عاصم
إذاعة عبدالمحسن العبيكان , حفص عن عاصم
إذاعة عبدالمحسن القاسم , حفص عن عاصم
إذاعة عبدالهادي أحمد كناكري , حفص عن عاصم
إذاعة عبدالودود حنيف , حفص عن عاصم
إذاعة علي الحذيفي , قالون عن نافع
إذاعة علي بن عبدالرحمن الحذيفي , حفص عن عاصم
إذاعة محمد أيوب , قراءة متميزة
إذاعة محمد عثمان خان , حفص عن عاصم
إذاعة ناصر الماجد , حفص عن عاصم
إذاعة هيثم الجدعاني , حفص عن عاصم
بندر بليله , حفص عن عاصم
صالح الهبدان , حفص عن عاصم
في ظلال السيرة النبوية – 400 حلقة عن سيرة نبينا محمد صلى الله عليه وسلم ,
كتاب الاختيارات الفقهية في مسائل العبادات والمعاملات من فتاوى الشيخ الإمام ابن باز -  رحمه الله ,
ماجد الزامل , حفص عن عاصم
ناصر العصفور , حفص عن عاصم
